BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
Blue Hill Pizza,,161 Blue Hill,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,7/27/12 8:03,16174450044,16335,"(42.31931, -71.07795)"
Blue House of Coffee,,1553 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,9/27/12 10:49,15083592782,16311,"(42.27076, -71.09398)"
Blue Island,,375 Blue Hill,Dorchester,MA,2121,Active,FT,Eating & Drinking w/ Take Out,6/20/13 11:14,16174421277,156225,"(42.311782, -71.081059)"
Blue Nile Restaurant,,387 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,9/13/11 11:16,16175222758,28018,"(42.32228, -71.10956)"
Blunch,,59 EAST SPRINGFIELD,BOSTON,MA,2136,Active,FT,Eating & Drinking w/ Take Out,12/5/07 15:00,16179057709,,"(42.3594, -71.0587)"
BO9/CO9/Y7,,4 Yawkey,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,3/8/11 9:03,16175366683,156417,"(42.346723, -71.09868)"
Bohemio's Restaurant,,30 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/13/11 10:56,16175617777,156396,"(42.37539, -71.038018)"
Boloco,,125 Pearl,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172662200,158233,"(42.354845, -71.05391)"
Boloco,,133 Federal,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172662200,57153,"(42.35426, -71.0566)"
Boloco,,1940 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172662200,156354,"(42.336353, -71.149998)"
Boloco,,27 SCHOOL,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,10/30/08 9:45,16172662200,,"(42.3594, -71.0587)"
Boloco,,283 LONGWOOD ,BOSTON,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172662200,,"(42.3594, -71.0587)"
Boloco,,359 HUNTINGTON ,BOSTON,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172662200,,"(42.3594, -71.0587)"
Boloco,,48 Congress,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,8/3/07 10:00,16172662200,42117,"(42.35798, -71.05599)"
Boloco,,569 Boylston,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,7/1/10 10:09,10000000000,18351,"(42.35064, -71.07645)"
Boloco - Berklee,,1080 Boylston,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,11/5/09 9:38,16172662200,17944,"(42.346952, -71.088046)"
Boloco (247 Newbury St.),,247 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172662200,101459,"(42.34978, -71.08272)"
Boloco Inspired Burritos,,2 Park,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,9/5/08 8:31,16172662200,107187,"(42.352269, -71.067108)"
Boloco-Atlantic Wharf,,280 Congress,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,6/30/11 10:41,10000000000,,"(42.3594, -71.0587)"
BON APPETIT RESTAURANT,,1138 Blue Hill,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178255544,157568,"(42.285777, -71.09125)"
Bonfire By Todd English,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/6/07 10:19,12406944746,,"(42.3594, -71.0587)"
