Beverly Rd 2 train icon 5 train icon,Beverly Rd,"3,975","3,972","(40.644031, -73.964492)"
Brighton Beach B train icon Q train icon ,Brighton Beach,"12,848","12,770","(40.577621, -73.961376)"
Broadway G train icon ,Broadway,"3,347","3,217","(40.761820, -73.925508)"
Broadway Junction A train icon C train icon J train icon L train icon Z train icon,Broadway Junction,"8,528","8,412","(40.678334, -73.905316)"
Bushwick Av-Aberdeen St L train icon,Bushwick Av-Aberdeen St,"1,143","1,246","(40.682829, -73.905249)"
Canarsie-Rockaway Pkwy L train icon,Canarsie-Rockaway Pkwy,"12,282","12,504","(40.646654, -73.901850)"
Carroll St F train icon G train icon,Carroll St,"9,786","10,002","(40.680303, -73.995048)"
Central Av M train icon ,Central Av,"2,347","2,548","(40.697857, -73.927397)"
Chauncey St J train icon Z train icon,Chauncey St,"2,646","2,789","(40.682893, -73.910456)"
Church Av 2 train icon 5 train icon,Church Av,"9,367","9,691","(40.650527, -73.962982)"
Church Av B train icon Q train icon ,Church Av,"15,769","14,696","(40.650527, -73.962982)"
Church Av F train icon G train icon,Church Av,"9,174","9,429","(40.650527, -73.962982)"
Clark St 2 train icon 3 train icon,Clark St,"5,269","5,406","(40.697466, -73.993086)"
Classon Av G train icon ,Classon Av,"3,760","3,935","(40.688873, -73.960070)"
Cleveland St J train icon,Cleveland St,"3,013","3,080","(40.679947, -73.884639)"
Clinton-Washington Avs C train icon,Clinton-Washington Avs,"5,029","5,404","(40.688089, -73.966839)"
Clinton-Washington Avs G train icon ,Clinton-Washington Avs,"4,736","4,942","(40.688089, -73.966839)"
Coney Island-Stillwell Av  D train icon F train icon N train icon Q train icon,Coney Island-Stillwell Av ,"12,240","13,079","(40.577422, -73.981233)"
Cortelyou Rd  Q train icon ,Cortelyou Rd ,"6,088","6,578","(40.640927, -73.963891)"
Court St R train icon/Borough Hall 2 train icon 3 train icon 4 train icon 5 train icon,Court St,"37,057","38,057","(40.694100, -73.991777)"
Crescent St J train icon Z train icon,Crescent St,"4,428","4,551","(40.683194, -73.873785)"
Crown Heights-Utica Av 3 train icon 4 train icon,Crown Heights-Utica Av,"27,231","27,476","(40.679364, -73.930729)"
Cypress Hills J train icon,Cypress Hills,"1,379","1,398","(40.689941, -73.872550)"
DeKalb Av B train icon Q train icon R train icon,DeKalb Av,"16,835","16,905","(40.690635, -73.981824)"
DeKalb Av L train icon,DeKalb Av,"10,066","10,451","(40.690635, -73.981824)"
Ditmas Av F train icon ,Ditmas Av,"4,496","4,471","(40.636119, -73.978172)"
East 105 St L train icon,East 105 St,"3,407","3,525","(40.650573, -73.899485)"
Eastern Pkwy-Brooklyn Museum  2 train icon 3 train icon,Eastern Pkwy-Brooklyn Museum ,"4,754","4,813","(40.671987, -73.964375)"
Euclid Av A train icon C train icon,Euclid Av,"9,435","9,750","(40.675377, -73.872106)"
Flatbush Av-Brooklyn College  2 train icon 5 train icon,Flatbush Av-Brooklyn College ,"20,159","21,355","(40.632836, -73.947642)"
Flushing Av G train icon ,Flushing Av,"1,900","1,930","(40.700260, -73.941126)"
Flushing Av J train icon M train icon ,Flushing Av,"7,765","8,243","(40.700260, -73.941126)"
Fort Hamilton Pkwy D train icon,Fort Hamilton Pkwy,"3,783","3,772","(40.631386, -74.005351)"
Fort Hamilton Pkwy F train icon G train icon,Fort Hamilton Pkwy,"4,816","4,967","(40.631386, -74.005351)"
Fort Hamilton Pkwy N train icon ,Fort Hamilton Pkwy,"6,407","6,508","(40.631386, -74.005351)"
Franklin Av 2 train icon 3 train icon 4 train icon 5 train icon/Botanic Garden S train icon,Franklin Av,"13,557","14,071","(40.680596, -73.955827)"
Franklin Av C train icon S train icon,Franklin Av,"4,906","5,348","(40.680596, -73.955827)"
Fulton St G train icon ,Fulton St,"3,379","3,523","(40.710374, -74.007582)"
Gates Av J train icon Z train icon,Gates Av,"5,194","5,413","(40.689630, -73.922270)"
Graham Av L train icon,Graham Av,"8,766","9,442","(40.714565, -73.944053)"
Grand Army Plaza 2 train icon 3 train icon,Grand Army Plaza,"7,661","7,722","(40.675235, -73.971046)"
Grand St L train icon,Grand St,"6,700","6,923","(40.711926, -73.940670)"
Grant Av A train icon,Grant Av,"6,091","6,089","(40.677044, -73.865050)"
Greenpoint Av G train icon ,Greenpoint Av,"7,392","7,523","(40.731352, -73.954449)"
Halsey St J train icon,Halsey St,"5,109","5,378","(40.686370, -73.916559)"
Halsey St L train icon,Halsey St,"6,154","6,420","(40.686370, -73.916559)"
Hewes St J train icon M train icon,Hewes St,"2,272","2,420","(40.706870, -73.953431)"
High St A train icon C train icon,High St,"6,045","6,259","(40.699337, -73.990531)"
Hoyt St 2 train icon 3 train icon,Hoyt St,"6,341","6,262","(40.690545, -73.985065)"
Hoyt-Schermerhorn Sts A train icon C train icon G train icon,Hoyt-Schermerhorn Sts,"9,642","9,742","(40.688484, -73.985001)"
Jay St-MetroTech A train icon C train icon F train icon R train icon,Jay St-MetroTech,"35,723","35,884","(40.692338, -73.987342)"
Jefferson St L train icon,Jefferson St,"5,059","5,408","(40.706607, -73.922913)"
Junius St 3 train icon,Junius St,"2,024","2,142","(40.663515, -73.902447)"
Kings Hwy B train icon Q train icon ,Kings Hwy,"18,462","19,091","(40.608670, -73.957734)"
Kings Hwy F train icon ,Kings Hwy,"3,323","3,478","(40.608670, -73.957734)"
Kings Hwy N train icon ,Kings Hwy,"4,989","5,017","(40.608670, -73.957734)"
Kingston Av 3 train icon,Kingston Av,"4,734","4,717","(40.669399, -73.942161)"
Kingston-Throop Avs C train icon,Kingston-Throop Avs,"4,769","4,897","(40.679921, -73.940858)"
Knickerbocker Av M train icon ,Knickerbocker Av,"3,260","3,325","(40.698664, -73.919711)"
Kosciuszko St J train icon,Kosciuszko St,"4,107","4,315","(40.693342, -73.928814)"
Lafayette Av C train icon,Lafayette Av,"4,409","4,627","(40.686113, -73.973946)"
Liberty Av C train icon,Liberty Av,"2,871","2,746","(40.674542, -73.896548)"
Livonia Av L train icon,Livonia Av,"2,280","2,497","(40.664038, -73.900571)"
Lorimer St J train icon M train icon,Lorimer St,"4,287","4,364","(40.703869, -73.947408)"
Lorimer St L train icon/Metropolitan Av G train icon,Lorimer St,"11,846","12,556","(40.703869, -73.947408)"
Marcy Av J train icon M train icon Z train icon,Marcy Av,"9,550","10,349","(40.708359, -73.957757)"
Montrose Av L train icon,Montrose Av,"5,433","5,946","(40.707739, -73.939850)"
Morgan Av L train icon,Morgan Av,"5,269","6,050","(40.706152, -73.933147)"
Myrtle Av J train icon M train icon Z train icon,Myrtle Av,"8,405","8,995","(40.697207, -73.935657)"
Myrtle-Willoughby Avs G train icon ,Myrtle-Willoughby Avs,"4,250","4,139","(40.694568, -73.949046)"
Myrtle-Wyckoff Avs L train icon M train icon,Myrtle-Wyckoff Avs,"16,030","16,445","(40.697207, -73.935657)"
Nassau Av G train icon ,Nassau Av,"7,542","7,343","(40.724635, -73.951277)"
Neck Rd Q train icon ,Neck Rd,"3,182","2,606","(40.595246, -73.955161)"
Neptune Av F train icon ,Neptune Av,"1,583","1,720","(40.581011, -73.974574)"
Nevins St 2 train icon 3 train icon 4 train icon 5 train icon,Nevins St,"11,579","11,778","(40.688246, -73.980492)"
New Lots Av 3 train icon,New Lots Av,"5,752","6,015","(40.658733, -73.899232)"
New Lots Av L train icon,New Lots Av,"3,729","3,961","(40.658733, -73.899232)"
New Utrecht Av N train icon/62 St D train icon ,New Utrecht Av,"5,052","5,155","(40.624842, -73.996353)"
Newkirk Av 2 train icon 5 train icon,Newkirk Av,"7,561","7,666","(40.635082, -73.962793)"
Newkirk Plaza B train icon Q train icon ,Newkirk Plaza,"9,375","9,179","(40.635082, -73.962793)"
Norwood Av J train icon Z train icon,Norwood Av,"3,319","3,381","(40.681410, -73.880039)"
Nostrand Av 3 train icon,Nostrand Av,"3,782","3,980","(40.680438, -73.950426)"
Nostrand Av A train icon C train icon,Nostrand Av,"15,018","15,264","(40.680438, -73.950426)"
Ocean Pkwy Q train icon,Ocean Pkwy,"3,075","3,350","(40.576312, -73.968501)"
Park Pl S train icon,Park Pl,"2,305","2,261","(40.674772, -73.957624)"
Parkside Av  Q train icon ,Parkside Av ,"5,661","6,407","(40.655292, -73.961495)"
Pennsylvania Av 3 train icon,Pennsylvania Av,"5,799","5,800","(40.664635, -73.894895)"
President St 2 train icon 5 train icon,President St,"3,469","3,731","(40.667883, -73.950683)"
Prospect Av R train icon,Prospect Av,"6,008","6,006","(40.665414, -73.992872)"
Prospect Park B train icon Q train icon S train icon,Prospect Park,"8,641","8,496","(40.661614, -73.962246)"
Ralph Av C train icon ,Ralph Av,"4,617","4,840","(40.678822, -73.920786)"
Rockaway Av 3 train icon,Rockaway Av,"5,699","5,729","(40.678340, -73.911946)"
Rockaway Av C train icon,Rockaway Av,"4,786","4,815","(40.678340, -73.911946)"
Saratoga Av 3 train icon,Saratoga Av,"5,472","5,529","(40.661453, -73.916327)"
Sheepshead Bay B train icon Q train icon ,Sheepshead Bay,"14,670","14,969","(40.586896, -73.954155)"
Shepherd Av C train icon,Shepherd Av,"2,939","2,917","(40.674130, -73.880750)"
Smith-9 Sts F train icon G train icon,Smith-9 Sts,"4,579","4,763","(40.673580, -73.995959)"
Sterling St 2 train icon 5 train icon,Sterling St,"5,315","5,597","(40.662742, -73.950850)"
Sutter Av L train icon,Sutter Av,"3,766","4,050","(40.669367, -73.901975)"
Sutter Av-Rutland Rd 3 train icon,Sutter Av-Rutland Rd,"7,259","7,461","(40.669367, -73.901975)"
Union St R train icon,Union St,"6,591","6,738","(40.677316, -73.983110)"
Utica Av A train icon C train icon,Utica Av,"13,515","13,584","(40.679364, -73.930729)"
