GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US35209,35209,"ZIP 35209 (Birmingham, AL)",00,Total for all sectors,2011,1819,41612,445417,1871540
8610000US35210,35210,"ZIP 35210 (Birmingham, AL)",00,Total for all sectors,2011,620,11771,121505,590324
8610000US35211,35211,"ZIP 35211 (Birmingham, AL)",00,Total for all sectors,2011,400,10652,126159,532468
8610000US35212,35212,"ZIP 35212 (Birmingham, AL)",00,Total for all sectors,2011,198,4071,41333,163236
8610000US35213,35213,"ZIP 35213 (Birmingham, AL)",00,Total for all sectors,2011,297,4439,43640,212382
8610000US35214,35214,"ZIP 35214 (Birmingham, AL)",00,Total for all sectors,2011,234,4215,35039,150200
8610000US35215,35215,"ZIP 35215 (Birmingham, AL)",00,Total for all sectors,2011,505,6596,48928,206743
8610000US35216,35216,"ZIP 35216 (Birmingham, AL)",00,Total for all sectors,2011,1030,15008,126062,549418
8610000US35217,35217,"ZIP 35217 (Birmingham, AL)",00,Total for all sectors,2011,355,7843,89561,370469
8610000US35218,35218,"ZIP 35218 (Birmingham, AL)",00,Total for all sectors,2011,99,1175,8663,40910
8610000US35219,35219,"ZIP 35219 (Birmingham, AL)",00,Total for all sectors,2011,14,356,5206,25265
8610000US35220,35220,"ZIP 35220 (Birmingham, AL)",00,Total for all sectors,2011,10,139,965,3663
8610000US35221,35221,"ZIP 35221 (Birmingham, AL)",00,Total for all sectors,2011,33,752,7478,35096
8610000US35222,35222,"ZIP 35222 (Birmingham, AL)",00,Total for all sectors,2011,390,7036,79095,331767
8610000US35223,35223,"ZIP 35223 (Birmingham, AL)",00,Total for all sectors,2011,485,7105,115582,396062
8610000US35224,35224,"ZIP 35224 (Birmingham, AL)",00,Total for all sectors,2011,42,438,3676,15271
8610000US35226,35226,"ZIP 35226 (Birmingham, AL)",00,Total for all sectors,2011,438,3487,22882,103099
8610000US35228,35228,"ZIP 35228 (Birmingham, AL)",00,Total for all sectors,2011,112,1084,6171,26147
8610000US35229,35229,"ZIP 35229 (Birmingham, AL)",00,Total for all sectors,2011,4,g,D,D
8610000US35231,35231,"ZIP 35231 (Birmingham, AL)",00,Total for all sectors,2011,6,35,143,519
8610000US35232,35232,"ZIP 35232 (Birmingham, AL)",00,Total for all sectors,2011,14,46,364,1696
8610000US35233,35233,"ZIP 35233 (Birmingham, AL)",00,Total for all sectors,2011,568,26642,368778,1479365
8610000US35234,35234,"ZIP 35234 (Birmingham, AL)",00,Total for all sectors,2011,159,3370,35789,144634
8610000US35235,35235,"ZIP 35235 (Birmingham, AL)",00,Total for all sectors,2011,489,9239,70505,301964
8610000US35236,35236,"ZIP 35236 (Birmingham, AL)",00,Total for all sectors,2011,18,210,1209,4247
8610000US35237,35237,"ZIP 35237 (Birmingham, AL)",00,Total for all sectors,2011,2,a,D,D
8610000US35238,35238,"ZIP 35238 (Birmingham, AL)",00,Total for all sectors,2011,24,190,1134,4891
8610000US35242,35242,"ZIP 35242 (Birmingham, AL)",00,Total for all sectors,2011,1435,23082,295842,1181420
8610000US35243,35243,"ZIP 35243 (Birmingham, AL)",00,Total for all sectors,2011,915,23559,316376,1228741
8610000US35244,35244,"ZIP 35244 (Birmingham, AL)",00,Total for all sectors,2011,1339,28701,349234,1381935
8610000US35246,35246,"ZIP 35246 (Birmingham, AL)",00,Total for all sectors,2011,3,a,D,D
8610000US35249,35249,"ZIP 35249 (Birmingham, AL)",00,Total for all sectors,2011,6,b,401,1835
8610000US35253,35253,"ZIP 35253 (Birmingham, AL)",00,Total for all sectors,2011,12,235,2562,12290
8610000US35254,35254,"ZIP 35254 (Birmingham, AL)",00,Total for all sectors,2011,4,474,4056,16100
8610000US35255,35255,"ZIP 35255 (Birmingham, AL)",00,Total for all sectors,2011,16,146,1816,7175
8610000US35259,35259,"ZIP 35259 (Birmingham, AL)",00,Total for all sectors,2011,15,e,D,D
8610000US35260,35260,"ZIP 35260 (Birmingham, AL)",00,Total for all sectors,2011,5,39,362,1574
8610000US35261,35261,"ZIP 35261 (Birmingham, AL)",00,Total for all sectors,2011,14,c,552,2201
8610000US35266,35266,"ZIP 35266 (Birmingham, AL)",00,Total for all sectors,2011,18,135,2431,10553
8610000US35283,35283,"ZIP 35283 (Birmingham, AL)",00,Total for all sectors,2011,1,b,D,D
8610000US35285,35285,"ZIP 35285 (Birmingham, AL)",00,Total for all sectors,2011,4,b,D,D
8610000US35288,35288,"ZIP 35288 (Birmingham, AL)",00,Total for all sectors,2011,1,a,D,D
8610000US35291,35291,"ZIP 35291 (Birmingham, AL)",00,Total for all sectors,2011,3,b,D,D
8610000US35294,35294,"ZIP 35294 (Birmingham, AL)",00,Total for all sectors,2011,7,c,D,D
8610000US35295,35295,"ZIP 35295 (Birmingham, AL)",00,Total for all sectors,2011,1,b,D,D
8610000US35298,35298,"ZIP 35298 (Birmingham, AL)",00,Total for all sectors,2011,3,b,D,D
8610000US35401,35401,"ZIP 35401 (Tuscaloosa, AL)",00,Total for all sectors,2011,1127,23969,213081,910122
8610000US35402,35402,"ZIP 35402 (Tuscaloosa, AL)",00,Total for all sectors,2011,22,f,D,D
8610000US35403,35403,"ZIP 35403 (Tuscaloosa, AL)",00,Total for all sectors,2011,60,1286,8772,36286
8610000US35404,35404,"ZIP 35404 (Tuscaloosa, AL)",00,Total for all sectors,2011,423,7969,59229,253631
8610000US35405,35405,"ZIP 35405 (Tuscaloosa, AL)",00,Total for all sectors,2011,668,10066,58505,247510
8610000US35406,35406,"ZIP 35406 (Tuscaloosa, AL)",00,Total for all sectors,2011,367,5252,52246,230286
8610000US35407,35407,"ZIP 35407 (Tuscaloosa, AL)",00,Total for all sectors,2011,13,c,S,9015
8610000US35441,35441,"ZIP 35441 (Akron, AL)",00,Total for all sectors,2011,5,17,69,283
8610000US35442,35442,"ZIP 35442 (Aliceville, AL)",00,Total for all sectors,2011,85,967,6182,27361
8610000US35443,35443,"ZIP 35443 (Boligee, AL)",00,Total for all sectors,2011,9,84,1220,3666
8610000US35444,35444,"ZIP 35444 (Brookwood, AL)",00,Total for all sectors,2011,67,2103,53892,197255
8610000US35446,35446,"ZIP 35446 (Buhl, AL)",00,Total for all sectors,2011,13,b,216,816
8610000US35447,35447,"ZIP 35447 (Carrollton, AL)",00,Total for all sectors,2011,55,708,5101,20492
8610000US35448,35448,"ZIP 35448 (Clinton, AL)",00,Total for all sectors,2011,2,a,D,D
8610000US35449,35449,"ZIP 35449 (Coaling, AL)",00,Total for all sectors,2011,3,12,40,161
8610000US35452,35452,"ZIP 35452 (Coker, AL)",00,Total for all sectors,2011,39,120,494,3167
8610000US35453,35453,"ZIP 35453 (Cottondale, AL)",00,Total for all sectors,2011,149,2349,16925,75994
8610000US35456,35456,"ZIP 35456 (Duncanville, AL)",00,Total for all sectors,2011,37,327,2361,11321
8610000US35457,35457,"ZIP 35457 (Echola, AL)",00,Total for all sectors,2011,2,a,D,D
8610000US35458,35458,"ZIP 35458 (Elrod, AL)",00,Total for all sectors,2011,1,a,D,D
8610000US35459,35459,"ZIP 35459 (Emelle, AL)",00,Total for all sectors,2011,14,c,D,D
8610000US35460,35460,"ZIP 35460 (Epes, AL)",00,Total for all sectors,2011,3,a,D,D
8610000US35461,35461,"ZIP 35461 (Ethelsville, AL)",00,Total for all sectors,2011,11,27,109,453
8610000US35462,35462,"ZIP 35462 (Eutaw, AL)",00,Total for all sectors,2011,81,1024,7130,30874
8610000US35463,35463,"ZIP 35463 (Fosters, AL)",00,Total for all sectors,2011,10,34,148,550
8610000US35464,35464,"ZIP 35464 (Gainesville, AL)",00,Total for all sectors,2011,5,b,D,D
8610000US35466,35466,"ZIP 35466 (Gordo, AL)",00,Total for all sectors,2011,59,399,2036,9414
8610000US35469,35469,"ZIP 35469 (Knoxville, AL)",00,Total for all sectors,2011,5,a,124,564
8610000US35470,35470,"ZIP 35470 (Livingston, AL)",00,Total for all sectors,2011,107,1185,7842,32585
8610000US35471,35471,"ZIP 35471 (Mc Shan, AL)",00,Total for all sectors,2011,3,b,D,D
8610000US35473,35473,"ZIP 35473 (Northport, AL)",00,Total for all sectors,2011,189,1588,10312,48742
8610000US35474,35474,"ZIP 35474 (Moundville, AL)",00,Total for all sectors,2011,64,948,7960,31914
8610000US35475,35475,"ZIP 35475 (Northport, AL)",00,Total for all sectors,2011,137,844,4801,21883
8610000US35476,35476,"ZIP 35476 (Northport, AL)",00,Total for all sectors,2011,445,7368,47636,205848
8610000US35477,35477,"ZIP 35477 (Panola, AL)",00,Total for all sectors,2011,1,a,D,D
8610000US35478,35478,"ZIP 35478 (Peterson, AL)",00,Total for all sectors,2011,3,a,D,D
8610000US35480,35480,"ZIP 35480 (Ralph, AL)",00,Total for all sectors,2011,11,37,213,1005
8610000US35481,35481,"ZIP 35481 (Reform, AL)",00,Total for all sectors,2011,69,548,3746,15412
